meeting date,track,race number,start time,distance,age restrictions,class restrictions,weight restrictions,race prizemoney,sex restrictions,weight type,race name,jockeys can claim,horse name,horse age,horse sex,horse sire,horse dam,horse number,horse jockey,horse barrier,horse trainer,horse weight,horse claim,horse last10,horse record,horse record distance,horse record track,horse record track distance,horse record firm,horse record good,horse record soft,horse record heavy,horse record jumps,horse record first up,horse record second up,horse prize money,form barrier,form class,form distance,form jockey,form margin,form meeting date,form name,form other runners,form position,form price,form time,form track,form track condition,form weight,horse record synthetic,meeting id, race id, horse id, horse trainer id, horse jockey id, form trainer id, form jockey id,prizemoney,sectional,prizemoney won,country
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Ice Pick Nick,8,Gelding,Frosted,Tramell,1,S Parnham,7,S V Vahala,60.5,0,47540x38200x,33:6-5-6,17: 4-3-4,3: 1-2-0,3: 1-2-0,0:0-0-0,23:4-3-3,10:2-2-3,0:0-0-0,0:0-0-0,5:2-1-1,5:2-0-2,$445 950,10,BenchMark 72+,1200,Z Johnston-Porter,13.4,14/03/26,Guinness (Bm72+),1-Horcrux,11,31,01:08.84,Ascot,Good 4,58.5,0:0-0-0,237965,1330741,943388,25477,12664,25477,17062,$80000,34.23sec 600m,$0,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Ice Pick Nick,8,Gelding,Frosted,Tramell,1,S Parnham,7,S V Vahala,60.5,0,47540x38200x,33:6-5-6,17: 4-3-4,3: 1-2-0,3: 1-2-0,0:0-0-0,23:4-3-3,10:2-2-3,0:0-0-0,0:0-0-0,5:2-1-1,5:2-0-2,$445 950,1,Listed,1300,S Parnham,9.2,22/02/26,TABtouch Pinjarra Classic,1-London's Image,12,11,01:17.72,Pinjarra Scarpside,Good 4,54,0:0-0-0,237513,1327237,943388,25477,12664,25477,12664,$150000,34.37sec 600m,$0,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Ice Pick Nick,8,Gelding,Frosted,Tramell,1,S Parnham,7,S V Vahala,60.5,0,47540x38200x,33:6-5-6,17: 4-3-4,3: 1-2-0,3: 1-2-0,0:0-0-0,23:4-3-3,10:2-2-3,0:0-0-0,0:0-0-0,5:2-1-1,5:2-0-2,$445 950,6,Listed,1200,S Parnham,1.0,24/01/26,Scenic Blast Stakes,1-Jaz Session,2,8.5,01:10.15,Ascot,Good 4,54,0:0-0-0,236907,1322717,943388,25477,12664,25477,12664,$125000,34.46sec 600m,$23250,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Ice Pick Nick,8,Gelding,Frosted,Tramell,1,S Parnham,7,S V Vahala,60.5,0,47540x38200x,33:6-5-6,17: 4-3-4,3: 1-2-0,3: 1-2-0,0:0-0-0,23:4-3-3,10:2-2-3,0:0-0-0,0:0-0-0,5:2-1-1,5:2-0-2,$445 950,8,Listed,1100,S Parnham,3.7,10/01/26,Miss Andretti Stakes,1-Acromantula,8,18,01:02.96,Ascot,Good 4,54,0:0-0-0,236611,1320517,943388,25477,12664,25477,12664,$125000,34.14sec 600m,$2250,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Ice Pick Nick,8,Gelding,Frosted,Tramell,1,S Parnham,7,S V Vahala,60.5,0,47540x38200x,33:6-5-6,17: 4-3-4,3: 1-2-0,3: 1-2-0,0:0-0-0,23:4-3-3,10:2-2-3,0:0-0-0,0:0-0-0,5:2-1-1,5:2-0-2,$445 950,6,Listed,1200,C Parnham,3.7,13/12/25,Black Heart Bart Stakes,1-Smooth Chino,3,18,01:08.87,Ascot,Good 4,55,0:0-0-0,235977,1316114,943388,25477,12664,25477,15179,$125000,34.03sec 600m,$11000,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Ice Pick Nick,8,Gelding,Frosted,Tramell,1,S Parnham,7,S V Vahala,60.5,0,47540x38200x,33:6-5-6,17: 4-3-4,3: 1-2-0,3: 1-2-0,0:0-0-0,23:4-3-3,10:2-2-3,0:0-0-0,0:0-0-0,5:2-1-1,5:2-0-2,$445 950,11,BenchMark 78+,1200,S Parnham,5.3,28/05/25,Free Entry To Belmont Park (Bm78+),1-Luvnwar,11,16,01:10.50,Pinjarra Scarpside,Good 4,59,0:0-0-0,230495,1274190,943388,25477,12664,25477,12664,$80000,32.81sec 600m,$0,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Ice Pick Nick,8,Gelding,Frosted,Tramell,1,S Parnham,7,S V Vahala,60.5,0,47540x38200x,33:6-5-6,17: 4-3-4,3: 1-2-0,3: 1-2-0,0:0-0-0,23:4-3-3,10:2-2-3,0:0-0-0,0:0-0-0,5:2-1-1,5:2-0-2,$445 950,4,Open,1200,S Mc Gruddy,2.1,26/04/25,The Drummond Golf Joey,1-Twain's Angel,4,41,01:10.01,Ascot,Good 4,58.5,0:0-0-0,229463,1266995,943388,25477,12664,25477,4651,$200000,34.90sec 600m,$7800,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Ice Pick Nick,8,Gelding,Frosted,Tramell,1,S Parnham,7,S V Vahala,60.5,0,47540x38200x,33:6-5-6,17: 4-3-4,3: 1-2-0,3: 1-2-0,0:0-0-0,23:4-3-3,10:2-2-3,0:0-0-0,0:0-0-0,5:2-1-1,5:2-0-2,$445 950,5,Listed,1500,B Parnham,1.5,22/03/25,Grandstand Cup,1-Watch Me Rock,5,8.5,01:30.09,Ascot,Good 4,59.5,0:0-0-0,228303,1260302,943388,25477,12664,25477,13271,$125000,34.62sec 600m,$3625,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Ice Pick Nick,8,Gelding,Frosted,Tramell,1,S Parnham,7,S V Vahala,60.5,0,47540x38200x,33:6-5-6,17: 4-3-4,3: 1-2-0,3: 1-2-0,0:0-0-0,23:4-3-3,10:2-2-3,0:0-0-0,0:0-0-0,5:2-1-1,5:2-0-2,$445 950,1,Listed,1400,S O'Donnell,10.3,08/03/25,TABtouch Bunbury Stakes,1-Triple Missile,7,3.9,01:23.94,Bunbury,Good 4,54,0:0-0-0,227926,1257603,943388,25477,12664,25477,4615,$150000,36.06sec 600m,$2700,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Ice Pick Nick,8,Gelding,Frosted,Tramell,1,S Parnham,7,S V Vahala,60.5,0,47540x38200x,33:6-5-6,17: 4-3-4,3: 1-2-0,3: 1-2-0,0:0-0-0,23:4-3-3,10:2-2-3,0:0-0-0,0:0-0-0,5:2-1-1,5:2-0-2,$445 950,9,Listed,1300,S Parnham,1.9,23/02/25,TABtouch Pinjarra Classic,1-Snowdome,4,3.5,01:16.93,Pinjarra,Good 4,54,0:0-0-0,227643,1255387,943388,25477,12664,25477,12664,$150000,35.07sec 600m,$5850,AUS
